BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2023-03-10,АбрауДюрсо,ABRD,2725.0,60797460.0,208.5,203.5,210.5,205.0,207.5,205.0,292790.0,207.5,207.5,,60797460.0,60797460.0,,0.0,3
SMAL,2023-03-10,Система ао,AFKS,10.0,498.69,14.399,11.899,14.399,,13.287,11.899,40.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,Система ао,AFKS,6115.0,115987879.8,13.25,13.24,13.344,13.32,13.287,13.276,8729300.0,13.288,13.288,,99033675.5,99033675.5,,0.0,3
SMAL,2023-03-10,Аэрофлот,AFLT,1.0,138.55,27.71,27.71,27.71,,28.33,27.71,5.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,Аэрофлот,AFLT,8496.0,115136680.9,28.38,28.18,28.51,28.2,28.33,28.27,4064690.0,28.34,28.34,,101839407.8,101839407.8,,0.0,3
TQBR,2023-03-10,AGRO-гдр,AGRO,2454.0,23121643.6,708.0,698.0,709.8,703.4,704.0,703.4,32844.0,704.0,704.0,,23121643.6,23121643.6,,0.0,3
TQTF,2023-03-10,AKGD ETF,AKGD,828.0,2769394.54,104.14,103.12,105.5,105.42,104.84,105.42,26421.0,104.82,104.82,,2769394.54,2769394.54,,11719939.52,3
TQTF,2023-03-10,ETF AKMB,AKMB,45736.0,23533545.51,1.241,1.2408,1.2518,1.2436,1.2442,1.2426,18911660.0,1.2444,1.2444,,23533545.51,23533545.51,,13831899.78,3
TQTF,2023-03-10,ETF AKME,AKME,456.0,9038790.18,96.94,96.02,97.5,97.42,97.28,97.4,92852.0,97.34,97.34,,9038790.18,9038790.18,,30900957.54,3
TQTF,2023-03-10,AKMM ETF,AKMM,131.0,138370555.42,104.7,104.67,104.7,104.7,104.69,104.7,1321628.0,104.7,104.7,,138370555.42,138370555.42,,91786421.4,3
TQTF,2023-03-10,AKQU ETF,AKQU,3.0,21260.0,7000.0,7000.0,7170.0,7090.0,7090.0,7090.0,3.0,7160.0,7200.0,,1982420.0,928520.0,,567624.79,3
TQBR,2023-03-10,Акрон,AKRN,585.0,23945282.0,18510.0,18460.0,18576.0,18530.0,18520.0,18530.0,1293.0,18520.0,18520.0,,23945282.0,23945282.0,,0.0,3
TQTF,2023-03-10,ETF AKSC,AKSC,66.0,45750.32,51.14,48.88,51.14,49.5,50.14,49.8,915.0,,50.84,,0.0,500393.02,,54194.88,3
TQTF,2023-03-10,AKVG ETF,AKVG,67.0,80985.94,48.24,46.04,48.24,47.14,48.08,47.12,1699.0,,48.28,,0.0,506067.54,,178256.8,3
SMAL,2023-03-10,АЛРОСА ао,ALRS,26.0,8923.56,58.01,58.01,71.02,,61.4,62.0,144.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,АЛРОСА ао,ALRS,19047.0,270818314.4,61.35,61.0,61.74,61.43,61.4,61.55,4410790.0,61.38,61.38,,229718047.3,229718047.3,,0.0,3
