BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2023-03-31,РЖД-19 обл,RU000A0JQ7Z2,76.0,2587248.5,99.02,99.34,99.02,99.02,17.42,99.09,8.85,99.14,2611.0,99.09,99.09,,2587248.5,2587248.5,,2024-07-08,445.0,8.79,,,7.85,39.14,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ДОМ.РФ15об,RU000A0JQAM6,13.0,6972200.7,101.01,105.0,105.0,105.0,4.38,103.99,,101.01,6705.0,103.99,103.99,,6972200.7,6972200.7,,2028-09-15,168.0,1.13,,,10.0,50.41,2023-09-15,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РЖД-23 обл,RU000A0JQRD9,47.0,309167.4,98.84,99.9,99.0,98.99,15.27,99.09,8.63,99.9,312.0,,99.01,,0.0,525756.4,,2025-01-16,617.0,8.57,,,7.85,39.14,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ЗСД 04,RU000A0JS4K9,10.0,28127.7,103.51,106.51,106.51,106.51,11.32,104.18,8.96,106.51,27.0,,,,0.0,0.0,,2032-02-06,2229.0,9.35,,,9.84,49.07,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РосбанкБО5,RU000A0JS6M0,1.0,4988.0,99.76,99.76,99.76,99.76,29.77,99.76,7.32,99.76,5.0,98.81,98.81,,2492962.8,2492962.8,,2023-10-21,198.0,7.32,,,6.75,33.66,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РЖД-32 обл,RU000A0JSGV0,18.0,299208.8,100.38,100.43,100.38,100.38,22.78,100.41,8.46,100.39,298.0,,100.4,,0.0,501003.6,,2032-06-25,98.0,8.34,,,9.9,49.36,2023-07-07,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ВЭБ.РФ 18,RU000A0JT403,10.0,22364.9,96.74,98.48,97.99,97.99,0.0,97.24,9.35,98.48,23.0,,97.57,,0.0,518079.9,,2032-09-17,526.0,9.94,,,7.67,38.24,2024-09-27,2023-03-31,1000.0,SUR,,9.232,,2024-10-01,RUB,3
TQCB,2023-03-31,ВЭБ.РФ 19,RU000A0JT6B2,1.0,7924.0,99.05,99.05,99.05,99.05,36.07,99.05,8.67,99.05,8.0,,98.58,,0.0,1244121.7,,2032-09-23,350.0,8.67,,,7.48,37.3,2024-04-04,2023-03-31,1000.0,SUR,,8.498,,2024-04-08,RUB,3
TQCB,2023-03-31,РЖД-28 обл,RU000A0JTU85,3.0,21690.1,98.41,98.6,98.6,98.6,0.56,98.59,8.49,98.41,22.0,,98.44,,0.0,567998.1,,2028-03-21,355.0,8.5,,,6.8,33.91,2024-03-26,2023-03-31,1000.0,SUR,,8.3438,,2024-03-29,RUB,3
TQCB,2023-03-31,РСХБ 20,RU000A0JTVJ2,49.0,4277810.2,100.12,100.55,100.44,100.44,66.76,100.21,-5.3,100.23,4269.0,100.21,100.21,,4277810.2,4277810.2,,2023-04-11,11.0,4.44,,,14.25,71.05,,2023-03-31,1000.0,SUR,,,-3.9608,,RUB,3
